,T2,RRR,PE,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Q_HBV,DDM_smb,DDM_accumulation_rate,DDM_ice_melt_rate,DDM_snow_melt_rate,DDM_total_melt,Q_DDM,Qobs,Q_Total
count,2557.0,2557.0,2557.0,2557.0,2557.0,2557.0,2557.0,2557.0,2557.0,2557.0,2557.0,2557.0,2557.0,2557.0,2557.0,723.0,2557.0
mean,265.95935090220394,1.71413708814756,0.24338909852948146,65.57652261865088,194.04658418458953,0.26093272175485704,12.853391661363514,10.417000488461248,1.1837130672050598,-0.18477767509340198,1.16696246159104,0.1742157095775364,1.1775244271069056,1.3517401366844417,1.3517401366844417,8.09945098077879,2.5354532038894995
std,7.471368012085828,3.25022496218868,0.33086624661457936,50.66906094913161,12.49134293908325,0.374916333475732,26.176559852970385,13.364733703082646,1.9391148281806558,4.403453889724837,2.748059876202432,1.5184119654709707,2.7595170960417796,3.111445103348336,3.111445103348336,5.114329329861691,4.662480161647837
min,246.75629291116988,0.0,0.0,0.0,151.95415036969214,0.0,0.0,0.0009844332125547865,4.402217475583389e-05,-25.00905576219761,0.0,0.0,0.0,0.0,0.0,0.0,4.402217475583389e-05
25%,259.18527154088866,0.009059906005859375,0.0,28.725290298461914,189.43344361183497,0.0,0.0,0.05903380090715492,0.002527896943642615,0.0,0.000476837158203125,0.0,0.0,0.0,0.0,4.516305316305317,0.0027181721378186042
50%,266.86032825943755,0.19502639770507812,0.0,58.729049643233964,194.14418466410692,0.0,0.0,1.8921174339505673,0.0804755954196199,0.021457672119140625,0.052928924560546875,0.0,0.0,0.0,0.0,7.56994356994357,0.08836086139456557
75%,272.9627400916611,1.8548965454101562,0.5320772532564844,98.14944267272949,199.49399025332875,0.5217589655705714,7.292603656348303,22.781585786094006,1.5820739808455297,0.5431175231933594,0.8482933044433594,0.0,0.0,0.0,0.0,11.496049896049895,2.3425848977464123
max,280.02389485472855,26.45587921142578,1.3127302200895896,219.83346939086914,222.50840971607707,2.130543423244418,125.05851142281574,35.72433067332799,8.601149236653853,28.74279022216797,28.74279022216797,25.00905576219761,19.152587471756306,25.00905576219761,25.00905576219761,31.25488565488565,29.733693213337283
sum,680058.0602569354,4383.048534393311,622.3459249398841,167679.1683358903,496177.1157599954,667.2049695271695,32866.1224781065,26636.270248995414,3026.7543128433376,-472.47651521382886,2983.923014288289,445.4695693897606,3010.9299601123575,3456.3995295021173,3456.3995295021173,5855.903059103065,6483.15384234545
