,T2,RRR,PE,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Q_HBV,DDM_smb,DDM_accumulation_rate,DDM_ice_melt_rate,DDM_snow_melt_rate,DDM_total_melt,Q_DDM,Qobs,Q_Total
count,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0
mean,-7.23,1.701,0.266,53.212,192.134,0.263,11.782,10.544,1.125,-0.148,1.172,0.178,1.143,1.32,1.32,2.337,2.445
std,7.552,3.188,0.376,38.163,17.229,0.373,22.872,13.427,1.779,4.322,2.678,1.568,2.697,3.073,3.073,4.654,4.504
min,-26.394,0.0,0.0,0.0,121.931,0.0,0.0,0.0,0.0,-23.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,-14.054,0.01,0.0,27.002,188.854,0.0,0.0,0.058,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003
50%,-6.326,0.214,0.0,47.166,195.342,0.0,0.0,1.934,0.082,0.022,0.059,0.0,0.0,0.0,0.0,0.0,0.092
75%,-0.073,1.882,0.529,79.769,201.532,0.523,7.155,23.212,1.603,0.574,0.912,0.0,0.0,0.0,0.0,2.258,2.453
max,6.874,26.456,2.131,161.192,219.071,2.131,100.019,35.766,6.92,25.711,25.711,23.554,18.894,23.554,23.554,31.255,26.901
sum,-21125.109,4971.782,776.597,155485.743,561416.622,768.193,34428.032,30809.349,3287.387,-432.868,3424.779,518.665,3338.979,3857.646,3857.646,6828.705,7145.033
