,T2,RRR,PE,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Q_HBV,DDM_smb,DDM_accumulation_rate,DDM_ice_melt_rate,DDM_snow_melt_rate,DDM_total_melt,Q_DDM,Qobs,Q_Total
count,7497.0,7497.0,7497.0,7497.0,7497.0,7497.0,7497.0,7497.0,7497.0,7497.0,7497.0,7497.0,7497.0,7497.0,7497.0,7497.0,7497.0
mean,-7.09,1.667,0.268,60.48,194.863,0.267,11.769,10.657,1.13,-0.04,1.162,0.077,1.126,1.203,1.203,0.911,2.332
std,7.353,3.146,0.379,45.895,10.416,0.379,24.071,13.406,1.812,4.062,2.653,0.992,2.611,2.777,2.777,3.121,4.21
min,-26.394,0.0,0.0,0.0,155.31,0.0,0.0,0.0,0.0,-21.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,-13.733,0.01,0.0,27.345,188.979,0.0,0.0,0.07,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.003
50%,-6.25,0.224,0.0,56.713,195.567,0.0,0.0,2.048,0.088,0.025,0.073,0.0,0.0,0.0,0.0,0.0,0.099
75%,-0.17,1.874,0.531,83.587,199.759,0.529,8.421,23.415,1.686,0.597,0.954,0.0,0.0,0.0,0.0,0.0,2.503
max,6.874,36.484,2.102,227.329,226.215,2.102,132.843,35.796,10.029,36.484,36.484,21.293,18.894,21.293,21.293,31.255,26.249
sum,-53155.497,12498.923,2006.648,453419.571,1460890.898,2004.14,88235.446,79893.604,8468.335,-302.877,8713.03,575.897,8440.013,9015.915,9015.915,6828.705,17484.25
