,T2,RRR,PE,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Q_HBV,DDM_smb,DDM_accumulation_rate,DDM_ice_melt_rate,DDM_snow_melt_rate,DDM_total_melt,Q_DDM,Qobs,Q_Total
2000-01-01,-14.374,0.012,0.0,74.227,196.249,0.0,0.0,0.0,0.0,0.012,0.012,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-02,-14.644,0.285,0.0,74.426,196.249,0.0,0.0,0.0,0.0,0.285,0.285,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-03,-15.387,0.225,0.0,74.584,196.249,0.0,0.0,0.0,0.0,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,-15.923,0.299,0.0,74.793,196.249,0.0,0.0,0.0,0.0,0.299,0.299,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-05,-18.411,0.016,0.0,74.804,196.249,0.0,0.0,0.0,0.0,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-06,-14.59,0.002,0.0,74.806,196.249,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-07,-16.087,0.05,0.0,74.841,196.249,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-08,-16.605,0.021,0.0,74.855,196.249,0.0,0.0,0.0,0.0,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-09,-14.416,3.497,0.0,77.303,196.249,0.0,0.0,0.0,0.0,3.497,3.497,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-10,-17.638,1.086,0.0,78.063,196.249,0.0,0.0,0.0,0.0,1.086,1.086,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,-18.733,0.0,0.0,78.063,196.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-12,-19.186,0.071,0.0,78.112,196.249,0.0,0.0,0.0,0.0,0.071,0.071,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-13,-17.554,0.056,0.0,78.152,196.249,0.0,0.0,0.0,0.0,0.056,0.056,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-14,-19.841,0.015,0.0,78.162,196.249,0.0,0.0,0.0,0.0,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-15,-21.113,0.051,0.0,78.197,196.249,0.0,0.0,0.0,0.0,0.051,0.051,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-16,-19.569,0.0,0.0,78.197,196.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-17,-18.512,0.0,0.0,78.197,196.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,-15.908,0.0,0.0,78.197,196.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-19,-13.991,0.166,0.0,78.314,196.249,0.0,0.0,0.0,0.0,0.166,0.166,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-20,-18.114,0.092,0.0,78.378,196.249,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-21,-20.236,0.02,0.0,78.392,196.249,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
