time,t2m
2007-08-10,289.2
2007-08-11,286.1083333333333
2007-08-12,280.49583333333334
2007-08-13,280.9083333333333
2007-08-14,283.32916666666665
2007-08-15,279.2375
2007-08-16,278.6375
2007-08-17,279.4
2007-08-18,280.5208333333333
2007-08-19,282.34999999999997
2007-08-20,283.9291666666666
2007-08-21,280.2125
2007-08-22,280.1791666666666
2007-08-23,282.775
2007-08-24,283.37083333333334
2007-08-25,283.3458333333333
2007-08-26,282.825
2007-08-27,281.1041666666667
2007-08-28,282.3041666666666
2007-08-29,282.79166666666663
2007-08-30,283.26666666666665
2007-08-31,282.69166666666666
2007-09-01,283.0958333333333
2007-09-02,285.20416666666665
2007-09-03,280.9833333333333
2007-09-04,281.56666666666666
2007-09-05,278.6708333333333
2007-09-06,279.06249999999994
2007-09-07,280.19166666666666
2007-09-08,279.6458333333333
2007-09-09,279.24999999999994
2007-09-10,279.9291666666666
2007-09-11,279.85416666666663
2007-09-12,281.3833333333333
2007-09-13,282.075
2007-09-14,281.37499999999994
2007-09-15,280.35416666666663
2007-09-16,283.6375
2007-09-17,281.55833333333334
2007-09-18,281.7416666666666
2007-09-19,282.22499999999997
2007-09-20,281.49999999999994
2007-09-21,278.9791666666667
2007-09-22,278.6083333333333
2007-09-23,276.2125
2007-09-24,276.275
2007-09-25,275.6083333333333
2007-09-26,274.95416666666665
2007-09-27,274.4875
2007-09-28,272.9208333333333
2007-09-29,274.15416666666664
2007-09-30,276.5208333333333
2007-10-01,274.9875
2007-10-02,276.525
2007-10-03,271.8958333333333
2007-10-04,269.22499999999997
2007-10-05,270.93333333333334
2007-10-06,273.5333333333333
2007-10-07,272.3875
2007-10-08,271.2333333333333
2007-10-09,271.12499999999994
2007-10-10,271.5541666666666
2007-10-11,273.07083333333327
2007-10-12,273.8333333333333
2007-10-13,272.09999999999997
2007-10-14,274.97916666666663
2007-10-15,275.5416666666667
2007-10-16,275.2625
2007-10-17,275.3375
2007-10-18,276.3625
2007-10-19,276.5833333333333
2007-10-20,274.30833333333334
2007-10-21,269.7375
2007-10-22,268.30833333333334
2007-10-23,270.96666666666664
2007-10-24,272.35416666666663
2007-10-25,271.78749999999997
2007-10-26,270.00416666666666
2007-10-27,268.4916666666666
2007-10-28,269.02916666666664
2007-10-29,270.47499999999997
2007-10-30,273.0875
2007-10-31,270.40416666666664
2007-11-01,271.56249999999994
2007-11-02,271.4916666666666
2007-11-03,271.16666666666663
2007-11-04,271.8458333333333
2007-11-05,274.9625
2007-11-06,274.16249999999997
2007-11-07,274.25416666666666
2007-11-08,274.28749999999997
2007-11-09,273.575
2007-11-10,269.7833333333333
2007-11-11,269.5
2007-11-12,270.8541666666667
2007-11-13,269.9291666666666
2007-11-14,270.9916666666666
2007-11-15,270.19166666666666
2007-11-16,264.775
2007-11-17,269.0333333333333
2007-11-18,270.5875
2007-11-19,273.675
2007-11-20,272.7583333333333
2007-11-21,270.6125
2007-11-22,273.57916666666665
2007-11-23,272.84166666666664
2007-11-24,269.09166666666664
2007-11-25,265.62916666666666
2007-11-26,269.4916666666666
2007-11-27,269.93333333333334
2007-11-28,269.72916666666663
2007-11-29,268.5958333333333
2007-11-30,266.0125
2007-12-01,268.5708333333333
2007-12-02,267.3958333333333
2007-12-03,265.9708333333333
2007-12-04,267.26666666666665
2007-12-05,269.0958333333333
2007-12-06,269.4833333333333
2007-12-07,268.525
2007-12-08,262.62083333333334
2007-12-09,264.8041666666666
2007-12-10,266.57916666666665
2007-12-11,263.32916666666665
2007-12-12,262.0208333333333
2007-12-13,261.1875
2007-12-14,262.6375
2007-12-15,261.3458333333333
2007-12-16,261.67499999999995
2007-12-17,263.62499999999994
2007-12-18,266.29166666666663
2007-12-19,266.97499999999997
2007-12-20,265.3583333333333
2007-12-21,267.2125
2007-12-22,264.0833333333333
2007-12-23,266.8458333333333
2007-12-24,263.41249999999997
2007-12-25,259.81666666666666
2007-12-26,258.62499999999994
2007-12-27,254.54999999999998
2007-12-28,255.76304347826084
2007-12-29,255.02499999999998
2007-12-30,254.62391304347824
2007-12-31,256.26666666666665
2008-01-01,256.4291666666666
2008-01-02,256.3583333333333
2008-01-03,262.4708333333333
2008-01-04,264.91249999999997
2008-01-05,263.29166666666663
2008-01-06,262.7708333333333
2008-01-07,264.12083333333334
2008-01-08,267.45416666666665
2008-01-09,266.7583333333333
2008-01-10,266.44166666666666
2008-01-11,262.12499999999994
2008-01-12,258.5875
2008-01-13,261.06666666666666
2008-01-14,260.8458333333333
2008-01-15,256.9083333333333
2008-01-16,260.0208333333333
2008-01-17,261.2833333333333
2008-01-18,257.46666666666664
2008-01-19,254.225
2008-01-20,255.5958333333333
2008-01-21,255.49999999999997
2008-01-22,255.61521739130433
2008-01-23,257.775
2008-01-24,257.25416666666666
2008-01-25,256.2083333333333
2008-01-26,254.0958333333333
2008-01-27,254.6
2008-01-28,254.67499999999995
2008-01-29,258.24583333333334
2008-01-30,260.40416666666664
2008-01-31,258.18333333333334
2008-02-01,258.96666666666664
2008-02-02,259.18749999999994
2008-02-03,258.96666666666664
2008-02-04,259.2083333333333
2008-02-05,260.0958333333333
2008-02-06,261.62916666666666
2008-02-07,259.2708333333333
2008-02-08,257.2958333333333
2008-02-09,259.6333333333333
2008-02-10,258.8375
2008-02-11,255.07499999999996
2008-02-12,254.95416666666665
2008-02-13,260.66666666666663
2008-02-14,264.50833333333327
2008-02-15,263.1083333333333
2008-02-16,264.8458333333333
2008-02-17,263.7208333333333
2008-02-18,264.425
2008-02-19,267.175
2008-02-20,271.0108695652174
