Date,Qobs
2010-10-18,3.25
2010-10-19,3.25
2010-10-20,3.25
2010-10-21,3.45
2010-10-22,3.45
2010-10-23,3.65
2010-10-24,3.45
2010-10-25,3.25
2010-10-26,3.25
2010-10-27,3.09
2010-10-28,3.09
2010-10-29,3.09
2010-10-30,3.09
2010-10-31,3.09
2010-11-01,2.77
2010-11-02,2.77
2010-11-03,3.25
2010-11-04,3.25
2010-11-05,3.25
2010-11-06,3.25
2010-11-07,3.25
2010-11-08,3.45
2010-11-09,3.45
2010-11-10,3.25
2010-11-11,3.25
2010-11-12,3.45
2010-11-13,3.65
2010-11-14,3.65
2010-11-15,3.65
2010-11-16,3.25
2010-11-17,3.45
2010-11-18,3.25
2010-11-19,3.09
2010-11-20,3.25
2010-11-21,2.93
2010-11-22,2.93
2010-11-23,2.93
2010-11-24,2.93
2010-11-25,2.93
2010-11-26,2.77
2010-11-27,2.77
2010-11-28,2.77
2010-11-29,2.77
2010-11-30,2.93
2010-12-01,2.77
2010-12-02,2.77
2010-12-03,2.77
2010-12-04,3.09
2010-12-05,3.09
2010-12-06,3.09
2010-12-07,3.06
2010-12-08,3.03
2010-12-09,3.0
2010-12-10,2.97
2010-12-11,2.94
2010-12-12,2.93
2010-12-13,2.89
2010-12-14,2.86
2010-12-15,2.83
2010-12-16,2.8
2010-12-17,2.77
2010-12-18,2.61
2010-12-19,2.69
2010-12-20,2.77
2010-12-21,2.61
2010-12-22,2.77
2010-12-23,2.77
2010-12-24,2.62
2010-12-25,2.47
2010-12-26,2.46
2010-12-27,2.45
2010-12-28,2.44
2010-12-29,2.43
2010-12-30,2.42
2010-12-31,2.41
2011-01-01,2.41
2011-01-02,2.4
2011-01-03,2.39
2011-01-04,2.38
2011-01-05,2.37
2011-01-06,2.36
2011-01-07,2.35
2011-01-08,2.34
2011-01-09,2.35
2011-01-10,2.37
2011-01-11,2.38
2011-01-12,2.39
2011-01-13,2.41
2011-01-14,2.42
2011-01-15,2.43
2011-01-16,2.44
2011-01-17,2.46
2011-01-18,2.47
2011-01-19,2.45
2011-01-20,2.43
2011-01-21,2.41
2011-01-22,2.39
2011-01-23,2.37
2011-01-24,2.35
2011-01-25,2.33
2011-01-26,2.31
2011-01-27,2.29
2011-01-28,2.27
2011-01-29,2.25
2011-01-30,2.23
2011-01-31,2.22
2011-02-01,2.2
2011-02-02,2.19
2011-02-03,2.17
2011-02-04,2.16
2011-02-05,2.15
2011-02-06,2.13
2011-02-07,2.12
2011-02-08,2.1
2011-02-09,2.09
2011-02-10,2.08
2011-02-11,2.07
2011-02-12,2.06
2011-02-13,2.05
2011-02-14,2.04
2011-02-15,2.04
2011-02-16,2.03
2011-02-17,2.02
2011-02-18,2.01
2011-02-19,2.0
2011-02-20,1.99
2011-02-21,1.98
2011-02-22,1.98
2011-02-23,1.97
2011-02-24,1.96
2011-02-25,1.95
2011-02-26,1.95
2011-02-27,1.94
2011-02-28,1.93
2011-03-01,1.93
2011-03-02,1.94
2011-03-03,1.94
2011-03-04,1.94
2011-03-05,1.97
2011-03-06,1.99
2011-03-07,2.02
2011-03-08,2.04
2011-03-09,2.07
2011-03-10,2.1
2011-03-11,2.12
2011-03-12,2.15
2011-03-13,2.17
2011-03-14,2.2
2011-03-15,2.23
2011-03-16,2.23
2011-03-17,2.12
2011-03-18,2.23
2011-03-19,2.23
2011-03-20,2.23
2011-03-21,2.34
2011-03-22,2.12
2011-03-23,2.12
2011-03-24,2.34
2011-03-25,2.34
2011-03-26,2.45
2011-03-27,2.45
2011-03-28,2.45
2011-03-29,2.61
2011-03-30,2.77
2011-03-31,2.34
2011-04-01,2.45
2011-04-02,2.45
2011-04-03,2.34
2011-04-04,2.34
2011-04-05,2.34
2011-04-06,2.45
2011-04-07,2.77
2011-04-08,2.77
2011-04-09,2.77
2011-04-10,3.09
2011-04-11,3.09
2011-04-12,3.09
2011-04-13,2.93
2011-04-14,3.09
2011-04-15,3.45
2011-04-16,3.45
2011-04-17,3.45
2011-04-18,3.09
2011-04-19,3.09
2011-04-20,2.93
2011-04-21,2.93
2011-04-22,2.93
2011-04-23,3.09
2011-04-24,4.65
2011-04-25,7.28
2011-04-26,7.02
2011-04-27,7.54
2011-04-28,7.4
2011-04-29,7.26
2011-04-30,7.12
2011-05-01,6.98
2011-05-02,6.84
2011-05-03,6.69
2011-05-04,7.82
2011-05-05,9.42
2011-05-06,11.0
2011-05-07,10.1
2011-05-08,8.14
2011-05-09,8.78
2011-05-10,8.46
2011-05-11,7.82
2011-05-12,8.78
2011-05-13,8.46
2011-05-14,8.46
2011-05-15,9.74
2011-05-16,11.0
2011-05-17,13.7
2011-05-18,12.3
2011-05-19,11.3
2011-05-20,10.7
2011-05-21,10.4
2011-05-22,9.1
2011-05-23,8.46
2011-05-24,8.78
2011-05-25,9.1
2011-05-26,8.46
2011-05-27,8.46
2011-05-28,8.46
2011-05-29,8.78
2011-05-30,9.42
2011-05-31,9.42
2011-06-01,9.1
2011-06-02,8.46
2011-06-03,9.1
2011-06-04,9.42
2011-06-05,11.0
2011-06-06,10.1
2011-06-07,9.1
2011-06-08,9.42
2011-06-09,10.1
2011-06-10,11.0
2011-06-11,10.7
2011-06-12,13.3
2011-06-13,15.0
2011-06-14,14.0
2011-06-15,13.0
2011-06-16,13.3
2011-06-17,13.0
2011-06-18,12.6
2011-06-19,13.0
2011-06-20,13.0
2011-06-21,13.3
2011-06-22,13.3
2011-06-23,13.0
2011-06-24,13.7
2011-06-25,16.1
2011-06-26,18.3
2011-06-27,15.0
2011-06-28,14.7
2011-06-29,14.3
2011-06-30,14.0
2011-07-01,13.7
2011-07-02,13.3
2011-07-03,13.3
2011-07-04,13.3
2011-07-05,14.3
2011-07-06,14.7
2011-07-07,13.7
2011-07-08,13.3
2011-07-09,13.3
2011-07-10,13.7
2011-07-11,14.0
2011-07-12,14.7
2011-07-13,16.1
2011-07-14,16.1
2011-07-15,16.1
2011-07-16,16.1
2011-07-17,16.1
2011-07-18,15.0
2011-07-19,13.7
2011-07-20,13.7
2011-07-21,14.7
2011-07-22,14.3
2011-07-23,14.7
2011-07-24,15.0
2011-07-25,15.7
2011-07-26,16.1
2011-07-27,15.4
2011-07-28,14.7
2011-07-29,14.7
2011-07-30,14.7
2011-07-31,14.0
2011-08-01,14.0
2011-08-02,14.0
2011-08-03,14.7
2011-08-04,15.4
2011-08-05,16.1
2011-08-06,16.4
2011-08-07,15.4
2011-08-08,15.7
2011-08-09,16.8
2011-08-10,15.0
2011-08-11,10.7
2011-08-12,12.6
2011-08-13,12.0
2011-08-14,13.0
2011-08-15,14.0
2011-08-16,13.7
2011-08-17,13.7
2011-08-18,13.0
2011-08-19,13.3
2011-08-20,13.7
2011-08-21,13.0
2011-08-22,12.3
2011-08-23,16.1
2011-08-24,15.0
2011-08-25,16.1
2011-08-26,16.1
2011-08-27,17.1
2011-08-28,16.1
2011-08-29,14.0
2011-08-30,13.3
2011-08-31,13.0
2011-09-01,12.6
2011-09-02,12.0
2011-09-03,11.3
2011-09-04,12.0
2011-09-05,12.0
2011-09-06,12.3
2011-09-07,13.3
2011-09-08,13.7
2011-09-09,11.7
2011-09-10,11.3
2011-09-11,11.7
2011-09-12,12.3
2011-09-13,11.7
2011-09-14,11.3
2011-09-15,9.74
2011-09-16,9.74
2011-09-17,9.74
2011-09-18,9.1
2011-09-19,8.46
2011-09-20,8.14
2011-09-21,7.5
2011-09-22,7.82
2011-09-23,7.82
2011-09-24,7.5
2011-09-25,7.23
2011-09-26,7.23
2011-09-27,6.96
2011-09-28,6.96
2011-09-29,6.96
2011-09-30,7.23
2011-10-01,6.96
2011-10-02,6.69
2011-10-03,6.69
2011-10-04,6.69
2011-10-05,6.42
2011-10-06,6.42
2011-10-07,6.42
2011-10-08,6.09
2011-10-09,5.76
2011-10-10,5.43
2011-10-11,5.1
2011-10-12,4.77
2011-10-13,4.43
2011-10-14,4.1
2011-10-15,4.23
2011-10-16,4.23
2011-10-17,4.23
2011-10-18,4.1
2011-10-19,4.1
2011-10-20,4.23
2011-10-21,4.1
2011-10-22,4.23
2011-10-23,4.23
2011-10-24,4.23
2011-10-25,4.1
2011-10-26,4.1
2011-10-27,4.1
2011-10-28,4.1
2011-10-29,3.97
2011-10-30,3.97
2011-10-31,3.97
2011-11-01,3.97
2011-11-02,3.97
2011-11-03,3.97
2011-11-04,3.97
2011-11-05,3.85
2011-11-06,3.85
2011-11-07,3.85
2011-11-08,3.97
2011-11-09,3.73
2011-11-10,3.73
2011-11-11,3.73
2011-11-12,3.73
2011-11-13,3.61
2011-11-14,3.61
2011-11-15,3.73
2011-11-16,3.73
2011-11-17,3.61
2011-11-18,3.61
2011-11-19,3.61
2011-11-20,3.61
2011-11-21,3.61
2011-11-22,3.61
2011-11-23,3.61
2011-11-24,3.61
2011-11-25,3.61
2011-11-26,3.49
2011-11-27,3.49
2011-11-28,3.49
2011-11-29,3.61
2011-11-30,3.49
2011-12-01,3.37
2011-12-02,3.61
2011-12-03,3.49
2011-12-04,3.49
2011-12-05,3.61
2011-12-06,3.61
2011-12-07,3.61
