,T2,RRR,PE,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Q_HBV,DDM_smb,DDM_accumulation_rate,DDM_ice_melt_rate,DDM_snow_melt_rate,DDM_total_melt,Q_DDM,Qobs,Q_Total
count,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0
mean,-7.23,1.701,0.266,64.213,193.851,0.265,12.607,10.489,1.172,-0.148,1.172,0.178,1.143,1.32,1.32,2.337,2.492
std,7.552,3.188,0.376,49.571,11.816,0.375,25.678,13.396,1.908,4.322,2.678,1.568,2.697,3.073,3.073,4.654,4.571
min,-26.394,0.0,0.0,0.0,149.537,0.0,0.0,0.0,0.0,-23.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,-14.054,0.01,0.0,27.951,187.748,0.0,0.0,0.053,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
50%,-6.326,0.214,0.0,57.709,194.144,0.0,0.0,1.92,0.082,0.022,0.059,0.0,0.0,0.0,0.0,0.0,0.09
75%,-0.073,1.882,0.529,94.292,199.549,0.528,7.922,23.026,1.629,0.574,0.912,0.0,0.0,0.0,0.0,2.258,2.373
max,6.874,26.456,2.131,219.833,222.591,2.131,125.059,35.724,8.601,25.711,25.711,23.554,18.894,23.554,23.554,31.255,26.108
sum,-21125.109,4971.782,776.597,187631.697,566432.831,773.747,36836.7,30648.448,3424.935,-432.868,3424.779,518.665,3338.979,3857.646,3857.646,6828.705,7282.581
