,T2,RRR,PE,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Q_HBV,DDM_smb,DDM_accumulation_rate,DDM_ice_melt_rate,DDM_snow_melt_rate,DDM_total_melt,Q_DDM,Qobs,Q_Total
count,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0
mean,-7.23,1.701,0.266,64.213,193.851,0.265,12.607,10.489,1.172,-0.232,1.165,0.26,1.138,1.397,1.397,2.337,2.57
std,7.552,3.188,0.376,49.571,11.816,0.375,25.678,13.396,1.908,4.498,2.707,1.929,2.707,3.268,3.268,4.654,4.746
min,-26.394,0.0,0.0,0.0,149.537,0.0,0.0,0.0,0.0,-25.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,-14.054,0.01,0.0,27.951,187.748,0.0,0.0,0.053,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002
50%,-6.326,0.214,0.0,57.709,194.144,0.0,0.0,1.92,0.082,0.022,0.057,0.0,0.0,0.0,0.0,0.0,0.092
75%,-0.073,1.882,0.529,94.292,199.549,0.528,7.922,23.026,1.629,0.566,0.896,0.0,0.0,0.0,0.0,2.258,2.403
max,6.874,26.456,2.131,219.833,222.591,2.131,125.059,35.724,8.601,28.743,28.743,25.009,19.153,25.009,25.009,31.255,29.734
sum,-21125.109,4971.782,776.597,187631.697,566432.831,773.747,36836.7,30648.448,3424.935,-679.108,3404.277,758.468,3324.898,4083.37,4083.37,6828.705,7508.305
