,T2,RRR,PE,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Q_HBV,DDM_smb,DDM_accumulation_rate,DDM_ice_melt_rate,DDM_snow_melt_rate,DDM_total_melt,Q_DDM,Qobs,Q_Total
2011-02-10,-13.15,1.164,0.0,64.898,165.44,0.0,0.0,0.0,0.0,1.164,1.164,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-11,-16.148,0.088,0.0,64.959,165.44,0.0,0.0,0.0,0.0,0.088,0.088,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-12,-14.789,0.0,0.0,64.959,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-13,-12.626,0.257,0.0,65.139,165.44,0.0,0.0,0.0,0.0,0.257,0.257,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-14,-12.657,0.196,0.0,65.276,165.44,0.0,0.0,0.0,0.0,0.196,0.196,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-15,-16.398,0.117,0.0,65.358,165.44,0.0,0.0,0.0,0.0,0.117,0.117,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-16,-15.446,0.002,0.0,65.359,165.44,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-17,-14.753,0.003,0.0,65.361,165.44,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-18,-15.232,0.0,0.0,65.362,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-19,-14.886,0.0,0.0,65.362,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-20,-14.286,0.623,0.0,65.798,165.44,0.0,0.0,0.0,0.0,0.623,0.623,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-21,-14.523,1.764,0.0,67.033,165.44,0.0,0.0,0.0,0.0,1.764,1.764,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-22,-12.996,0.039,0.0,67.06,165.44,0.0,0.0,0.0,0.0,0.039,0.039,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-23,-14.481,0.006,0.0,67.064,165.44,0.0,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-24,-13.943,2.866,0.0,69.07,165.44,0.0,0.0,0.0,0.0,2.866,2.866,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-25,-17.808,0.088,0.0,69.132,165.44,0.0,0.0,0.0,0.0,0.088,0.088,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-26,-18.022,0.041,0.0,69.16,165.44,0.0,0.0,0.0,0.0,0.041,0.041,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-27,-17.681,0.124,0.0,69.247,165.44,0.0,0.0,0.0,0.0,0.124,0.124,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-28,-18.075,0.105,0.0,69.32,165.44,0.0,0.0,0.0,0.0,0.105,0.105,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,-16.737,0.0,0.0,69.32,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-02,-15.64,0.091,0.0,69.384,165.44,0.0,0.0,0.0,0.0,0.091,0.091,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-03,-14.439,1.279,0.0,70.279,165.44,0.0,0.0,0.0,0.0,1.279,1.279,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-04,-16.387,0.03,0.0,70.3,165.44,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-05,-14.835,0.574,0.0,70.702,165.44,0.0,0.0,0.0,0.0,0.574,0.574,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-06,-15.837,0.437,0.0,71.008,165.44,0.0,0.0,0.0,0.0,0.437,0.437,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-07,-14.243,0.048,0.0,71.042,165.44,0.0,0.0,0.0,0.0,0.048,0.048,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-08,-14.267,0.071,0.0,71.092,165.44,0.0,0.0,0.0,0.0,0.071,0.071,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-09,-12.81,0.258,0.0,71.272,165.44,0.0,0.0,0.0,0.0,0.258,0.258,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-10,-13.468,0.007,0.0,71.277,165.44,0.0,0.0,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-11,-10.68,0.012,0.0,71.285,165.44,0.0,0.0,0.0,0.0,0.012,0.012,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-12,-15.15,1.091,0.0,72.049,165.44,0.0,0.0,0.0,0.0,1.091,1.091,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-13,-18.354,0.054,0.0,72.087,165.44,0.0,0.0,0.0,0.0,0.054,0.054,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-14,-14.857,0.0,0.0,72.087,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-15,-10.027,0.059,0.0,72.129,165.44,0.0,0.0,0.0,0.0,0.059,0.059,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-16,-13.41,3.152,0.0,74.335,165.44,0.0,0.0,0.0,0.0,3.152,3.152,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-17,-16.676,0.015,0.0,74.346,165.44,0.0,0.0,0.0,0.0,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-18,-15.427,0.125,0.0,74.433,165.44,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-19,-16.381,0.377,0.0,74.697,165.44,0.0,0.0,0.0,0.0,0.377,0.377,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-20,-18.862,0.207,0.0,74.842,165.44,0.0,0.0,0.0,0.0,0.207,0.207,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-21,-18.346,0.0,0.0,74.842,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-22,-16.8,0.0,0.0,74.842,165.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
