,DDM_total_melt,Q_Total,Qobs,DDM_smb,Q_COSIPY,COSIPY_smb,COSIPY_melt
count,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0
mean,1.32,2.492,2.337,-0.148,2.869,-1.802,3.052
std,3.073,4.571,4.654,4.322,5.585,5.623,5.268
min,0.0,0.0,0.0,-23.554,0.0,-23.132,0.0
25%,0.0,0.002,0.0,0.0,0.0,-1.851,0.0
50%,0.0,0.09,0.0,0.022,0.0,0.002,0.015
75%,0.0,2.373,2.258,0.574,2.058,0.139,4.136
max,23.554,26.108,31.255,25.711,31.124,27.646,23.204
sum,3857.646,7282.581,6828.711,-432.868,8382.145,-5265.941,8918.056
