,Q_Total,DDM_total_melt,Qobs,DDM_smb,Q_COSIPY,COSIPY_smb,COSIPY_melt
2011-01-01,6.385592453247639e-06,0.0,,0.01049041748046875,0.0,0.0018743948449500374,0.000710819709544851
2011-01-02,2.5834700403979244e-05,0.0,,0.004291534423828125,0.0,0.0018734262787539302,7.768773393255765e-07
2011-01-03,4.240983440591826e-05,0.0,,0.0,0.0,-0.0014606196634198612,9.225290154324437e-07
2011-01-04,3.6443274058032395e-05,0.0,,0.05817413330078125,0.0,-0.00723210456351358,1.376682920464194e-06
2011-01-05,1.7071694924312315e-05,0.0,,0.18453598022460938,0.0,0.011146521181258582,1.6892501247043841e-06
2011-01-06,3.4427875267139083e-06,0.0,,0.015735626220703125,0.0,0.005229211990663912,0.00012307399836009652
2011-01-07,7.867422074495313e-07,0.0,,0.00095367431640625,0.0,0.001066446157342972,8.293242016747818e-07
2011-01-08,3.966877797899796e-06,0.0,,0.004291534423828125,0.0,0.00013999362525503637,1.3070344249077248e-06
2011-01-09,7.004697405733087e-06,0.0,,0.0,0.0,-2.922161250425735e-06,1.0431373216297448e-06
2011-01-10,7.673409845211189e-06,0.0,,0.0,0.0,-5.379603948960084e-06,9.878148647216609e-07
2011-01-11,6.760968083834656e-06,0.0,,0.0,0.0,-2.7674517074258535e-05,1.0842510488983704e-06
2011-01-12,5.691756277012954e-06,0.0,,0.001430511474609375,0.0,-0.001068746741088763,1.1911105935617077e-06
2011-01-13,5.146040976917475e-06,0.0,,0.012874603271484375,0.0,9.476274689228282e-06,0.00012369877190469443
2011-01-14,5.034244461861195e-06,0.0,,0.0,0.0,0.0009417812589355555,0.0001153071857649886
2011-01-15,5.024325077460896e-06,0.0,,0.0,0.0,-2.6676879012929797e-05,1.1115366255387416e-06
2011-01-16,4.919737938244279e-06,0.0,,0.0,0.0,0.031009833684708006,1.6109113781902475e-06
2011-01-17,4.714458864737204e-06,0.0,,0.000476837158203125,0.0,0.014404609544620512,0.0002564700988853008
2011-01-18,4.481819815191023e-06,0.0,,0.766754150390625,0.0,0.29834922900738403,2.3710942241408657e-06
2011-01-19,4.275159033088936e-06,0.0,,0.21123886108398438,0.0,0.012818401222913531,1.5586556075370085e-06
2011-01-20,4.10247357625652e-06,0.0,,0.01049041748046875,0.0,-0.0016111790426053692,8.197582013449101e-07
2011-01-21,3.94803926393564e-06,0.0,,0.012874603271484375,0.0,0.0002595054786514444,1.1637983321970938e-06
2011-01-22,3.7975263188434894e-06,0.0,,0.02384185791015625,0.0,-0.004327618844028554,2.1528513534550966e-06
2011-01-23,3.646971312792281e-06,0.0,,0.10251998901367188,0.0,0.011481432546222624,0.00032130572093589743
2011-01-24,3.4991004681761076e-06,0.0,,0.17452239990234375,0.0,0.0021910953137653753,0.0012492210252751578
2011-01-25,3.357213798292244e-06,0.0,,0.7505416870117188,0.0,0.08098618757551801,0.022334692710296172
2011-01-26,3.222371715365516e-06,0.0,,0.33855438232421875,0.0,0.018505199417188145,1.8810916269363737e-06
2011-01-27,3.093851294085437e-06,0.0,,0.003814697265625,0.0,0.0005197992458649622,1.3464233184193108e-06
2011-01-28,2.9705775537499145e-06,0.0,,0.0,0.0,-1.3735505049041074e-05,9.60928118631393e-07
2011-01-29,2.8519414733512474e-06,0.0,,0.0,0.0,-7.819382936651961e-05,1.0488487490528258e-06
2011-01-30,2.7378042833834754e-06,0.0,,0.0,0.0,-2.488226355280702e-05,1.0604852554078102e-06
2011-01-31,2.628176572254949e-06,0.0,,0.0,0.0,0.0008768969961290593,1.5198782731319194e-06
2011-02-01,2.522992436281506e-06,0.0,,0.030994415283203125,0.0,0.008098681282706416,1.213816602682561e-06
2011-02-02,2.4220786260857496e-06,0.0,,0.0057220458984375,0.0,0.013912853634687018,1.086421857073881e-06
2011-02-03,2.3252221709444514e-06,0.0,,0.7619857788085938,0.0,0.6647092617229645,1.7029966870491889e-06
2011-02-04,2.232229579777332e-06,0.0,,0.8482933044433594,0.0,0.8205932751925673,0.0002158709305619119
2011-02-05,2.1429412080481062e-06,0.0,,3.2329559326171875,0.0,3.141024690981738,1.3776962616179246e-06
2011-02-06,2.0572176784270147e-06,0.0,,1.1897087097167969,0.0,1.0416556051758978,0.00012164806236941361
2011-02-07,1.9749245460760257e-06,0.0,,1.6870498657226562,0.0,1.252043608386375,2.395627928194946e-06
2011-02-08,1.8959268031846124e-06,0.0,,3.6039352416992188,0.0,3.573074131082831,2.2021511111829893e-06
2011-02-09,1.82009095085919e-06,0.0,,0.02384185791015625,0.0,0.01172799652172059,0.002461914044353219
2011-02-10,1.7472884651570522e-06,0.0,,1.2035369873046875,0.0,0.6262310993122445,2.2983401920716045e-06
2011-02-11,1.6773972480552553e-06,0.0,,0.0476837158203125,0.0,0.042056339781599734,1.700620496229454e-06
2011-02-12,1.610301126555717e-06,0.0,,0.0,0.0,-0.002957450686636831,1.3896464944364654e-06
2011-02-13,1.5458887926849616e-06,0.0,,0.25653839111328125,0.0,0.1409059161819099,1.5717139211226897e-06
2011-02-14,1.4840531310642854e-06,0.0,,0.21505355834960938,0.0,0.014912613217036377,1.9978216567415273e-06
2011-02-15,1.4246910433911565e-06,0.0,,0.09894371032714844,0.0,0.060020279180100736,1.7241935431856852e-06
2011-02-16,1.3677034713610159e-06,0.0,,0.000476837158203125,0.0,0.0010042254195974628,1.0348674332999498e-06
2011-02-17,1.3129953662844397e-06,0.0,,0.003337860107421875,0.0,0.0030241983645249966,1.212971222615509e-06
2011-02-18,1.2604755476245339e-06,0.0,,0.000476837158203125,0.0,0.007321932971387115,1.2029237286654685e-06
2011-02-19,1.2100565095576943e-06,0.0,,0.0,0.0,-0.002665281549132216,1.4112657746074563e-06
2011-02-20,1.161654239483167e-06,0.0,,1.15966796875,0.0,1.1399013565404335,2.2120225505242046e-06
2011-02-21,1.1151880695349315e-06,0.0,,1.2273788452148438,0.0,1.2384891018597515,1.9724994588058135e-06
2011-02-22,1.070580550330932e-06,0.0,,0.03910064697265625,0.0,0.007476976425065472,1.240766979633039e-06
2011-02-23,1.0277573309600751e-06,0.0,,0.006198883056640625,0.0,0.008335636038926826,1.6087553027320974e-06
2011-02-24,9.866470381501687e-07,0.0,,2.8944015502929688,0.0,2.736894044540068,2.013659352601531e-06
2011-02-25,9.471811558776929e-07,0.0,,0.09298324584960938,0.0,0.021334474017171905,2.0815746430589227e-06
2011-02-26,9.092939089521369e-07,0.0,,0.01049041748046875,0.0,0.04247518217720631,1.7641759024066652e-06
2011-02-27,8.729221524075841e-07,0.0,,0.1735687255859375,0.0,0.09449691997604713,2.7424311206103986e-06
2011-02-28,8.380052664543418e-07,0.0,,0.051021575927734375,0.0,0.0912391582389003,1.7002745195393485e-06
2011-03-01,8.044850559697784e-07,0.0,,0.0,0.0,0.005396319895139139,1.7176981863726541e-06
2011-03-02,7.723056537955342e-07,0.0,,0.09059906005859375,0.0,0.17052260672105443,0.00010191140160713625
2011-03-03,7.414134276200648e-07,0.0,,1.2831687927246094,0.0,0.961296109988943,2.4268555599213294e-06
2011-03-04,7.11756890473221e-07,0.0,,0.028133392333984375,0.0,0.14475523724822761,2.3351790858299592e-06
2011-03-05,6.832866148343112e-07,0.0,,0.5736351013183594,0.0,0.471079919202254,0.0017692210677000585
2011-03-06,6.559551502436294e-07,0.0,,0.4372596740722656,0.0,0.060946320237900115,2.012892943947485e-06
2011-03-07,6.297169442436677e-07,0.0,,0.04863739013671875,0.0,0.09192965467723123,1.8858600693249012e-06
2011-03-08,6.045282664796835e-07,0.0,,0.125885009765625,0.0,0.129351103324815,2.5153043183098367e-06
2011-03-09,5.803471358206464e-07,0.0,,0.20170211791992188,0.0,0.16654973781526647,0.0003987965163482519
2011-03-10,5.571332503856454e-07,0.0,,0.00667572021484375,0.0,0.09721036904547792,3.1224277672442788e-06
2011-03-11,5.348479203686423e-07,0.0,,0.018596649169921875,0.0,0.108531039778744,0.000244931344081231
2011-03-12,5.134540035536566e-07,0.0,,1.1157989501953125,0.0,0.871265740717567,1.4232929076026442e-06
2011-03-13,4.929158434119668e-07,0.0,,0.02288818359375,0.0,0.06068762807134053,1.6954356655068374e-06
2011-03-14,4.7319920967590166e-07,0.0,,0.0,0.0,0.0053377702278583385,1.1964465866338382e-06
2011-03-15,4.5427124128897355e-07,0.0,,0.0591278076171875,0.0,0.12403666777193587,9.942675082933755e-06
