,T2,RRR,PE,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Q_HBV,DDM_smb,DDM_accumulation_rate,DDM_ice_melt_rate,DDM_snow_melt_rate,DDM_total_melt,Q_DDM,Qobs,Q_Total
count,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,832.0,2922.0
mean,-7.229671405995031,1.7015038900877988,0.24631352115822688,64.90724460707443,195.92368368632313,0.26576948441054765,12.797571672005457,10.505056952725154,1.1839312611500392,-0.3855483496956166,1.1372514896172767,0.41205145898116324,1.1107483803317306,1.522799839312894,1.522799839312894,8.207578076808861,2.7067311004629357
std,7.552272204298205,3.187907310005835,0.33107265102796873,49.90540252264798,8.967133544850778,0.37565648741298624,25.981358965296742,13.401966139643632,1.9263287027841078,4.699232651710779,2.6321241893443763,2.4896696170791706,2.6828695484735463,3.571228786651719,3.571228786651719,5.281606328086838,5.052685210479226
min,-26.393707088830098,0.0,0.0,0.0,172.67597767722287,0.0,0.0,1.9846289818437956e-06,8.874922417284652e-08,-28.85715524857541,0.0,0.0,0.0,0.0,0.0,0.0,8.874922417284652e-08
25%,-14.0533298033497,0.0095367431640625,0.0,27.951490879058838,189.42724865500102,0.0,0.0,0.05320895783157715,0.0022454063371444588,0.0,0.0,0.0,0.0,0.0,0.0,3.9261063261063254,0.0024326317459604386
50%,-6.326482522633187,0.21314620971679688,0.0,58.28254222869873,194.14423813616807,0.0,0.0,1.9531350105480108,0.08372371489619071,0.020378441031225325,0.0553131103515625,0.0,0.0,0.0,0.0,7.56994356994357,0.09215273739190635
75%,-0.0733059384435002,1.8811225891113281,0.5446755473976257,96.5461015701294,199.5586493119561,0.5291416854976234,8.038859253722693,23.026144056466087,1.6377692922528826,0.5147457122802734,0.8524201294637692,0.0,0.0,0.0,0.0,11.496049896049895,2.5612310929170516
max,6.873894854728611,26.45587921142578,1.3127302200895934,219.8334693908691,222.60620152906628,2.130543423244426,125.05867368967142,35.724330862079746,8.601169783350674,25.710582733154297,25.710582733154297,28.85715524857541,19.24690559324011,28.85715524857541,28.85715524857541,31.25488565488565,33.81542137366893
sum,-21125.09984831748,4971.794366836548,719.728108824339,189658.96874187147,572489.0037314362,776.5784334476202,37394.504425599946,30695.7764158629,3459.4471450804144,-1126.5722778105917,3323.0488526616823,1204.014363142959,3245.606767329317,4449.6211304722765,4449.6211304722765,6828.704959904973,7909.068275552699
