,Qobs,DDM_total_melt,DDM_smb,Q_Total,Q_COSIPY,COSIPY_smb,COSIPY_melt
2011-02-27,0.0,0.0,0.174,0.0,0.0,0.09449691997604713,6.581834689464956e-05
2011-02-28,0.0,0.0,0.051,0.0,0.0,0.0912391582389003,4.0806588468944366e-05
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.005396319895139139,4.12247564729437e-05
2011-03-02,0.0,0.0,0.091,0.0,0.0,0.17052260672105443,0.00244587363857127
2011-03-03,0.0,0.0,1.283,0.0,0.0,0.961296109988943,5.8244533438111906e-05
2011-03-04,0.0,0.0,0.028,0.0,0.0,0.14475523724822761,5.6044298059919025e-05
2011-03-05,0.0,0.0,0.574,0.0,0.0,0.471079919202254,0.0424613056248014
2011-03-06,0.0,0.0,0.437,0.0,0.0,0.060946320237900115,4.830943065473964e-05
2011-03-07,0.0,0.0,0.049,0.0,0.0,0.09192965467723123,4.526064166379763e-05
2011-03-08,0.0,0.0,0.126,0.0,0.0,0.129351103324815,6.036730363943608e-05
2011-03-09,0.0,0.0,0.202,0.0,0.0,0.16654973781526647,0.009571116392358046
2011-03-10,0.0,0.0,0.007,0.0,0.0,0.09721036904547792,7.49382664138627e-05
2011-03-11,0.0,0.0,0.019,0.0,0.0,0.108531039778744,0.0058783522579495436
2011-03-12,0.0,0.0,1.116,0.0,0.0,0.871265740717567,3.415902978246346e-05
2011-03-13,0.0,0.0,0.023,0.0,0.0,0.06068762807134053,4.06904559721641e-05
2011-03-14,0.0,0.0,0.0,0.0,0.0,0.0053377702278583385,2.8714718079212116e-05
2011-03-15,0.0,0.0,0.059,0.0,0.0,0.12403666777193587,0.00023862420199041015
2011-03-16,0.0,0.0,3.159,0.0,0.0,3.1953050347034213,2.8866800255122152e-05
2011-03-17,0.0,0.0,0.008,0.0,0.0,0.028581641559114426,2.9069561842064706e-05
2011-03-18,0.0,0.0,0.134,0.0,0.0,0.147088063013643,5.583893006861943e-05
2011-03-19,0.0,0.0,0.427,0.0,0.0,0.2398987279846533,3.362026799197057e-05
2011-03-20,0.0,0.0,0.148,0.0,0.0,-0.11947510192400514,0.2857051566221692
2011-03-21,0.0,0.0,0.0,0.0,0.0,0.03160975795224693,2.6943037957010035e-05
2011-03-22,0.0,0.0,0.0,0.0,0.0,0.00013077050600544376,2.3623140733352063e-05
2011-03-23,0.0,0.0,0.0,0.0,0.0,0.029586376389751576,4.7385513305637925e-05
2011-03-24,0.0,0.0,0.0,0.0,0.0,0.036583132265484104,3.431516108140829e-05
2011-03-25,0.0,0.0,0.0,0.0,0.0,0.03202345875668821,5.3081635587694314e-05
2011-03-26,0.0,0.0,0.0,0.0,0.0,0.19435421873694964,0.000249226462838788
2011-03-27,0.0,0.0,0.0,0.0,0.0,0.09095488899331929,0.061722465803777174
2011-03-28,0.0,0.0,0.047,0.0,0.0,0.3607921764225826,0.008118380641557222
